cache_key,suburb,city_town,municipality,province,country,display_name
-24.0342_31.1236,,Ba-Phalaborwa Local Municipality,Mopani District Municipality,Limpopo,South Africa,"Ba-Phalaborwa Local Municipality, Mopani District Municipality, Limpopo, South Africa"
-24.0589_31.2372,,Ba-Phalaborwa Local Municipality,Mopani District Municipality,Limpopo,South Africa,"Ba-Phalaborwa Local Municipality, Mopani District Municipality, Limpopo, South Africa"
-24.1839_30.8239,,Maruleng Local Municipality,Mopani District Municipality,Limpopo,South Africa,"Maruleng Local Municipality, Mopani District Municipality, Limpopo, South Africa"
-24.2822_28.0903,,Modimolle Local Municipality,Waterberg District Municipality,Limpopo,South Africa,"Vaalwater, Modimolle Local Municipality, Waterberg District Municipality, Limpopo, 0530, South Africa"
-24.3962_27.0898,,Thabazimbi Local Municipality,Waterberg District Municipality,Limpopo,South Africa,"Thabazimbi Local Municipality, Waterberg District Municipality, Limpopo, South Africa"
-24.6708_28.5608,,Modimolle Local Municipality,Waterberg District Municipality,Limpopo,South Africa,"Modimolle Local Municipality, Waterberg District Municipality, Limpopo, South Africa"
-24.6792_30.8025,,Thaba Chweu Local Municipality,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Ngwetsintshage, Thaba Chweu Local Municipality, Ehlanzeni District Municipality, Mpumalanga, 1274, South Africa"
-24.6951_27.4091,,Thabazimbi Local Municipality,Waterberg District Municipality,Limpopo,South Africa,"Thabazimbi Local Municipality, Waterberg District Municipality, Limpopo, South Africa"
-24.7689_31.39,,Bushbuckridge,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Bushbuckridge, Ehlanzeni District Municipality, Mpumalanga, South Africa"
-24.9253_29.3244,,Ephraim Mogale Local Municipality,Sekhukhune District Municipality,Limpopo,South Africa,"Ephraim Mogale Local Municipality, Sekhukhune District Municipality, Limpopo, 0450, South Africa"
-24.9586_29.3953,,Ephraim Mogale Local Municipality,Sekhukhune District Municipality,Limpopo,South Africa,"Ephraim Mogale Local Municipality, Sekhukhune District Municipality, Limpopo, 0450, South Africa"
-24.9675_31.5167,,Bushbuckridge,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Bushbuckridge, Ehlanzeni District Municipality, Mpumalanga, South Africa"
-24.9933_30.8144,,Thaba Chweu Local Municipality,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Graskop, Thaba Chweu Local Municipality, Ehlanzeni District Municipality, Mpumalanga, South Africa"
-25.1278_27.6289,,Madibeng Local Municipality,Bojanala Platinum District Municipality,North West,South Africa,"Madibeng Local Municipality, Bojanala Platinum District Municipality, North West, South Africa"
-25.1494_31.9406,,Nkomazi,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Nkomazi, Ehlanzeni District Municipality, Mpumalanga, South Africa"
-25.2064_27.558,,Madibeng Local Municipality,Bojanala Platinum District Municipality,North West,South Africa,"Madibeng Local Municipality, Bojanala Platinum District Municipality, North West, South Africa"
-25.3622_31.9567,,Nkomazi,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Komatipoort, Nkomazi, Ehlanzeni District Municipality, Mpumalanga, South Africa"
-25.3989_31.6106,,Nkomazi,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Nkomazi, Ehlanzeni District Municipality, Mpumalanga, South Africa"
-25.4361_31.9822,,Nkomazi,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Komatipoort, Nkomazi, Ehlanzeni District Municipality, Mpumalanga, South Africa"
-25.4472_30.7117,,Mbombela,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Mbombela, Ehlanzeni District Municipality, Mpumalanga, South Africa"
-25.4596_28.2643,,,City of Tshwane Metropolitan Municipality,Gauteng,South Africa,"City of Tshwane Metropolitan Municipality, Gauteng, South Africa"
-25.4904_30.6986,,Mbombela,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Mbombela, Ehlanzeni District Municipality, Mpumalanga, South Africa"
-25.5139_31.2244,,Mbombela,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Kanyamazane, Mbombela, Ehlanzeni District Municipality, Mpumalanga, 1214, South Africa"
-25.5788_29.1275,,Thembisile Hani Local Municipality,Nkangala,Mpumalanga,South Africa,"Thembisile Hani Local Municipality, Nkangala, Mpumalanga, South Africa"
-25.6739_31.5753,,Nkomazi,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Nkomazi, Ehlanzeni District Municipality, Mpumalanga, South Africa"
-25.6811_31.7833,,Nkomazi,Ehlanzeni District Municipality,Mpumalanga,South Africa,"Tonga, Nkomazi, Ehlanzeni District Municipality, Mpumalanga, 1357, South Africa"
-25.7341_27.2142,,Rustenburg Local Municipality,Bojanala Platinum District Municipality,North West,South Africa,"Rustenburg Local Municipality, Bojanala Platinum District Municipality, North West, South Africa"
-25.8105_27.9096,,Madibeng Local Municipality,Bojanala Platinum District Municipality,North West,South Africa,"Broederstroom, Madibeng Local Municipality, Bojanala Platinum District Municipality, North West, 0240, South Africa"
-25.9914_27.8421,,Mogale City Local Municipality,West Rand District Municipality,Gauteng,South Africa,"Mogale City Local Municipality, West Rand District Municipality, Gauteng, South Africa"
-26.0064_29.2539,,Emalahleni Local Municipality,Nkangala,Mpumalanga,South Africa,"Emalahleni Local Municipality, Nkangala, Mpumalanga, South Africa"
-26.0361_30.9978,,Albert Luthuli Local Municipality,Gert Sibande,Mpumalanga,South Africa,"Albert Luthuli Local Municipality, Gert Sibande, Mpumalanga, South Africa"
-26.45_28.0858,,Midvaal Local Municipality,Sedibeng District Municipality,Gauteng,South Africa,"Midvaal Local Municipality, Sedibeng District Municipality, Gauteng, South Africa"
-26.5103_28.3514,,Lesedi Local Municipality,Sedibeng District Municipality,Gauteng,South Africa,"Heidelberg, Lesedi Local Municipality, Sedibeng District Municipality, Gauteng, 6800, South Africa"
-26.6194_27.9808,,Midvaal Local Municipality,Sedibeng District Municipality,Gauteng,South Africa,"Midvaal Ward 2, Midvaal Local Municipality, Sedibeng District Municipality, Gauteng, South Africa"
-26.6481_27.0894,,Tlokwe Local Municipality,Dr Kenneth Kaunda District Municipality,North West,South Africa,"Tlokwe Local Municipality, Dr Kenneth Kaunda District Municipality, North West, South Africa"
-26.7381_27.5919,,Ngwathe Local Municipality,Fezile Dabi District Municipality,Free State,South Africa,"Ngwathe Local Municipality, Fezile Dabi District Municipality, Free State, South Africa"
-26.8611_28.8847,,Dipaleseng Local Municipality,Gert Sibande,Mpumalanga,South Africa,"Dipaleseng Local Municipality, Gert Sibande, Mpumalanga, 2415, South Africa"
-26.8803_26.965,,Tlokwe Local Municipality,Dr Kenneth Kaunda District Municipality,North West,South Africa,"Tlokwe Local Municipality, Dr Kenneth Kaunda District Municipality, North West, South Africa"
-26.905_32.3247,,uMhlabuyalingana Local Municipality,Umkhanyakude District Municipality,KwaZulu-Natal,South Africa,"uMhlabuyalingana Local Municipality, Umkhanyakude District Municipality, KwaZulu-Natal, South Africa"
-26.9703_27.2111,,Tlokwe Local Municipality,Dr Kenneth Kaunda District Municipality,North West,South Africa,"Tlokwe Local Municipality, Dr Kenneth Kaunda District Municipality, North West, South Africa"
-26.9847_26.6323,,Matlosana Local Municipality,Dr Kenneth Kaunda District Municipality,North West,South Africa,"Orkney, Matlosana Local Municipality, Dr Kenneth Kaunda District Municipality, North West, 2620, South Africa"
-27.0022_28.7653,,Dipaleseng Local Municipality,Gert Sibande,Mpumalanga,South Africa,"Dipaleseng Local Municipality, Gert Sibande, Mpumalanga, 2415, South Africa"
-27.0101_26.6981,,Matlosana Local Municipality,Dr Kenneth Kaunda District Municipality,North West,South Africa,"Orkney, Matlosana Local Municipality, Dr Kenneth Kaunda District Municipality, North West, 2620, South Africa"
-27.0231_28.5939,,Dipaleseng Local Municipality,Gert Sibande,Mpumalanga,South Africa,"Dipaleseng Local Municipality, Gert Sibande, Mpumalanga, 2415, South Africa"
-27.0444_27.005,,Moqhaka Local Municipality,Fezile Dabi District Municipality,Free State,South Africa,"Moqhaka Local Municipality, Fezile Dabi District Municipality, Free State, South Africa"
-27.1694_29.2339,,Lekwa Local Municipality,Gert Sibande,Mpumalanga,South Africa,"Lekwa Local Municipality, Gert Sibande, Mpumalanga, South Africa"
-27.2739_28.49,,Mafube Local Municipality,Fezile Dabi District Municipality,Free State,South Africa,"Mafube Local Municipality, Fezile Dabi District Municipality, Free State, South Africa"
-27.3567_27.2864,,Ngwathe Local Municipality,Fezile Dabi District Municipality,Free State,South Africa,"Ngwathe Local Municipality, Fezile Dabi District Municipality, Free State, South Africa"
-27.3636_31.7833,,uPhongolo Local Municipality,Zululand District Municipality,KwaZulu-Natal,South Africa,"uPhongolo Local Municipality, Zululand District Municipality, KwaZulu-Natal, South Africa"
-27.3897_26.4639,,Nala Local Municipality,Lejweleputswa District Municipality,Free State,South Africa,"Balkfontein, Nala Local Municipality, Lejweleputswa District Municipality, Free State, South Africa"
-27.3986_26.6147,,Nala Local Municipality,Lejweleputswa District Municipality,Free State,South Africa,"Bothaville, Nala Local Municipality, Lejweleputswa District Municipality, Free State, 9660, South Africa"
-27.3_28.5869,,Mafube Local Municipality,Fezile Dabi District Municipality,Free State,South Africa,"Mafube Local Municipality, Fezile Dabi District Municipality, Free State, South Africa"
-27.4275_28.5258,,Mafube Local Municipality,Fezile Dabi District Municipality,Free State,South Africa,"Mafube Local Municipality, Fezile Dabi District Municipality, Free State, South Africa"
-27.4956_26.0747,,Maquassi Hills Local Municipality,Dr Kenneth Kaunda District Municipality,North West,South Africa,"Maquassi Hills Local Municipality, Dr Kenneth Kaunda District Municipality, North West, 2630, South Africa"
-27.4_26.6247,,Nala Local Municipality,Lejweleputswa District Municipality,Free State,South Africa,"Bothaville, Nala Local Municipality, Lejweleputswa District Municipality, Free State, 9660, South Africa"
-27.5275_30.8581,,eDumbe Local Municipality,Zululand District Municipality,KwaZulu-Natal,South Africa,"eDumbe Local Municipality, Zululand District Municipality, KwaZulu-Natal, 3180, South Africa"
-27.5731_24.7464,,Greater Taung Local Municipality,Dr Ruth Segomotsi Mompati District Municipality,North West,South Africa,"Matolong, Greater Taung Local Municipality, Dr Ruth Segomotsi Mompati District Municipality, North West, 8580, South Africa"
-27.6022_29.9428,,Newcastle Local Municipality,Amajuba District Municipality,KwaZulu-Natal,South Africa,"Newcastle Local Municipality, Amajuba District Municipality, KwaZulu-Natal, South Africa"
-27.6711_27.2369,,Moqhaka Local Municipality,Fezile Dabi District Municipality,Free State,South Africa,"Kroonstad, Moqhaka Local Municipality, Fezile Dabi District Municipality, Free State, 1499, South Africa"
-27.8028_28.7683,,Phumelela Local Municipality,Thabo Mofutsanyana District Municipality,Free State,South Africa,"Phumelela Local Municipality, Thabo Mofutsanyana District Municipality, Free State, South Africa"
-27.9028_24.6156,,Greater Taung Local Municipality,Dr Ruth Segomotsi Mompati District Municipality,North West,South Africa,"Greater Taung Local Municipality, Dr Ruth Segomotsi Mompati District Municipality, North West, South Africa"
-27.935_26.1267,,Tswelopele Local Municipality,Lejweleputswa District Municipality,Free State,South Africa,"Tswelopele Local Municipality, Lejweleputswa District Municipality, Free State, South Africa"
-27.9378_31.2094,,Abaqulusi Local Municipality,Zululand District Municipality,KwaZulu-Natal,South Africa,"Abaqulusi Local Municipality, Zululand District Municipality, KwaZulu-Natal, 3100, South Africa"
-28.0589_30.3736,,Endumeni Local Municipality,Umzinyathi District Municipality,KwaZulu-Natal,South Africa,"Endumeni Local Municipality, Umzinyathi District Municipality, KwaZulu-Natal, South Africa"
-28.0683_31.55,,Nongoma Local Municipality,Zululand District Municipality,KwaZulu-Natal,South Africa,"Nongoma Local Municipality, Zululand District Municipality, KwaZulu-Natal, 3950, South Africa"
-28.1167_26.7253,,Matjhabeng Local Municipality,Lejweleputswa District Municipality,Free State,South Africa,"Matjhabeng Local Municipality, Lejweleputswa District Municipality, Free State, South Africa"
-28.1175_26.7194,,Matjhabeng Local Municipality,Lejweleputswa District Municipality,Free State,South Africa,"Matjhabeng Local Municipality, Lejweleputswa District Municipality, Free State, South Africa"
-28.1419_26.4178,,Matjhabeng Local Municipality,Lejweleputswa District Municipality,Free State,South Africa,"Matjhabeng Local Municipality, Lejweleputswa District Municipality, Free State, South Africa"
-28.3089_31.9025,,Hlabisa Local Municipality,,KwaZulu-Natal,South Africa,"Hlabisa Local Municipality, KwaZulu-Natal, 3997, South Africa"
-28.3383_31.3736,,Ulundi Local Municipality,Zululand District Municipality,KwaZulu-Natal,South Africa,"Ulundi, Ulundi Local Municipality, Zululand District Municipality, KwaZulu-Natal, 3838, South Africa"
-28.3769_24.3031,,Dikgatlong Local Municipality,Frances Baard District Municipality,Northern Cape,South Africa,"Dikgatlong Local Municipality, Frances Baard District Municipality, Northern Cape, South Africa"
-28.4044_30.0131,,Indaka Local Municipality,Uthukela District Municipality,KwaZulu-Natal,South Africa,"Indaka Local Municipality, Uthukela District Municipality, KwaZulu-Natal, South Africa"
-28.4456_32.325,,Mtubatuba Local Municipality,Umkhanyakude District Municipality,KwaZulu-Natal,South Africa,"Mtubatuba Local Municipality, Umkhanyakude District Municipality, KwaZulu-Natal, South Africa"
-28.4608_21.2489,,ǁKhara Hais Local Municipality,ZF Mgcawu District Municipality,Northern Cape,South Africa,"ǁKhara Hais Local Municipality, ZF Mgcawu District Municipality, Northern Cape, South Africa"
-28.6948_28.2349,,Dihlabeng Local Municipality,Thabo Mofutsanyana District Municipality,Free State,South Africa,"Fouriesburg, Dihlabeng Local Municipality, Thabo Mofutsanyana District Municipality, Free State, South Africa"
-28.7115_24.0729,,Siyancuma Local Municipality,Pixley ka Seme District Municipality,Northern Cape,South Africa,"Siyancuma Local Municipality, Pixley ka Seme District Municipality, Northern Cape, South Africa"
-28.7356_29.8206,,Emnambithi/Ladysmith Local Municipality,Uthukela District Municipality,KwaZulu-Natal,South Africa,"Emnambithi/Ladysmith Local Municipality, Uthukela District Municipality, KwaZulu-Natal, 3370, South Africa"
-28.7478_31.7458,,uMlalazi Local Municipality,King Cetswayo District Municipality,KwaZulu-Natal,South Africa,"uMlalazi Local Municipality, King Cetswayo District Municipality, KwaZulu-Natal, South Africa"
-28.75_30.4428,,Msinga Local Municipality,Umzinyathi District Municipality,KwaZulu-Natal,South Africa,"Msinga Local Municipality, Umzinyathi District Municipality, KwaZulu-Natal, South Africa"
-28.7608_17.7303,,Nama Khoi Local Municipality,Namakwa District Municipality,Northern Cape,South Africa,"Nama Khoi Local Municipality, Namakwa District Municipality, Northern Cape, South Africa"
-28.7681_20.7206,,Kai !Garib Local Municipality,ZF Mgcawu District Municipality,Northern Cape,South Africa,"Kai !Garib Local Municipality, ZF Mgcawu District Municipality, Northern Cape, South Africa"
-28.8013_31.9554,,uMhlathuze Local Municipality,King Cetswayo District Municipality,KwaZulu-Natal,South Africa,"uMhlathuze Local Municipality, King Cetswayo District Municipality, KwaZulu-Natal, South Africa"
-28.8833_27.89,,Setsoto Local Municipality,Thabo Mofutsanyana District Municipality,Free State,South Africa,"Ficksburg, Setsoto Local Municipality, Thabo Mofutsanyana District Municipality, Free State, 9730, South Africa"
-28.9636_19.1549,,Khâi-Ma Local Municipality,Namakwa District Municipality,Northern Cape,South Africa,"Khâi-Ma Local Municipality, Namakwa District Municipality, Northern Cape, South Africa"
-29.0286_24.6384,,Sol Plaatje Local Municipality,Frances Baard District Municipality,Northern Cape,South Africa,"Sol Plaatje Local Municipality, Frances Baard District Municipality, Northern Cape, South Africa"
-29.0333_23.9833,,Siyancuma Local Municipality,Pixley ka Seme District Municipality,Northern Cape,South Africa,"Siyancuma Local Municipality, Pixley ka Seme District Municipality, Northern Cape, South Africa"
-29.0422_24.6,,Sol Plaatje Local Municipality,Frances Baard District Municipality,Northern Cape,South Africa,"Sol Plaatje Local Municipality, Frances Baard District Municipality, Northern Cape, South Africa"
-29.1406_31.3919,,Mandeni Local Municipality,iLembe District Municipality,KwaZulu-Natal,South Africa,"Mandeni Local Municipality, iLembe District Municipality, KwaZulu-Natal, South Africa"
-29.1603_26.5733,,,Mangaung Metropolitan Municipality,Free State,South Africa,"Mangaung Metropolitan Municipality, Free State, South Africa"
-29.1617_23.6964,,Siyancuma Local Municipality,Pixley ka Seme District Municipality,Northern Cape,South Africa,"Siyancuma Local Municipality, Pixley ka Seme District Municipality, Northern Cape, South Africa"
-29.1617_30.6297,,Umvoti Local Municipality,Umzinyathi District Municipality,KwaZulu-Natal,South Africa,"Umvoti Local Municipality, Umzinyathi District Municipality, KwaZulu-Natal, South Africa"
-29.1825_23.5756,,Thembelihle Local Municipality,Pixley ka Seme District Municipality,Northern Cape,South Africa,"Thembelihle Local Municipality, Pixley ka Seme District Municipality, Northern Cape, South Africa"
-29.3806_30.2775,,uMgeni Local Municipality,uMgungundlovu District Municipality,KwaZulu-Natal,South Africa,"uMgeni Local Municipality, uMgungundlovu District Municipality, KwaZulu-Natal, South Africa"
-29.6156_27.0653,,Naledi Local Municipality,Xhariep District Municipality,Free State,South Africa,"Naledi Local Municipality, Xhariep District Municipality, Free State, South Africa"
-29.6419_30.6875,,,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,"eThekwini Metropolitan Municipality, KwaZulu-Natal, South Africa"
-29.6514_22.7464,,Siyathemba Local Municipality,Pixley ka Seme District Municipality,Northern Cape,South Africa,"Prieska, Siyathemba Local Municipality, Pixley ka Seme District Municipality, Northern Cape, South Africa"
-29.6581_25.9733,,Kopanong Local Municipality,Xhariep District Municipality,Free State,South Africa,"Kopanong Local Municipality, Xhariep District Municipality, Free State, South Africa"
-29.7442_29.9058,,Ingwe Local Municipality,Sisonke District Municipality,KwaZulu-Natal,South Africa,"Ingwe Local Municipality, Sisonke District Municipality, KwaZulu-Natal, South Africa"
-29.7589_30.9353,,KwaMashu,eThekwini Metropolitan Municipality,KwaZulu-Natal,South Africa,"KwaMashu, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4360, South Africa"
-29.7775_29.4708,,Kwa Sani Local Municipality,Sisonke District Municipality,KwaZulu-Natal,South Africa,"Underberg, Kwa Sani Local Municipality, Sisonke District Municipality, KwaZulu-Natal, South Africa"
-29.8036_30.5161,,Mkhambathini Local Municipality,uMgungundlovu District Municipality,KwaZulu-Natal,South Africa,"Mkhambathini Local Municipality, uMgungundlovu District Municipality, KwaZulu-Natal, South Africa"
-29.9878_29.8517,,Ingwe Local Municipality,Sisonke District Municipality,KwaZulu-Natal,South Africa,"Ingwe Local Municipality, Sisonke District Municipality, KwaZulu-Natal, South Africa"
-30.1357_30.6742,,Vulamehlo Local Municipality,Ugu District Municipality,KwaZulu-Natal,South Africa,"Vulamehlo Local Municipality, Ugu District Municipality, KwaZulu-Natal, South Africa"
-30.1601_27.4012,,Mohokare Local Municipality,Xhariep District Municipality,Free State,South Africa,"Mohokare Local Municipality, Xhariep District Municipality, Free State, South Africa"
-30.274_30.696,,uMdoni Local Municipality,Ugu District Municipality,KwaZulu-Natal,South Africa,"Scottburgh, uMdoni Local Municipality, Ugu District Municipality, KwaZulu-Natal, 4182, South Africa"
-30.3361_27.3594,,Senqu Local Municipality,Joe Gqabi District Municipality,Eastern Cape,South Africa,"Senqu Local Municipality, Joe Gqabi District Municipality, Eastern Cape, South Africa"
-30.3981_30.6019,,Vulamehlo Local Municipality,Ugu District Municipality,KwaZulu-Natal,South Africa,"Vulamehlo Local Municipality, Ugu District Municipality, KwaZulu-Natal, South Africa"
-30.5342_24.9619,,Umsobomvu Local Municipality,Pixley ka Seme District Municipality,Northern Cape,South Africa,"Umsobomvu Local Municipality, Pixley ka Seme District Municipality, Northern Cape, South Africa"
-30.5683_29.4228,,Greater Kokstad Local Municipality,Sisonke District Municipality,KwaZulu-Natal,South Africa,"Kokstad, Greater Kokstad Local Municipality, Sisonke District Municipality, KwaZulu-Natal, 4700, South Africa"
-30.5708_29.1506,,Greater Kokstad Local Municipality,Sisonke District Municipality,KwaZulu-Natal,South Africa,"Greater Kokstad Local Municipality, Sisonke District Municipality, KwaZulu-Natal, 4700, South Africa"
-30.6797_26.7125,,Mohokare Local Municipality,Xhariep District Municipality,Free State,South Africa,"Mohokare Local Municipality, Xhariep District Municipality, Free State, South Africa"
-30.7339_29.8283,,uMuziwabantu Local Municipality,Ugu District Municipality,KwaZulu-Natal,South Africa,"uMuziwabantu Local Municipality, Ugu District Municipality, KwaZulu-Natal, South Africa"
-30.7759_29.0322,,Umzimvubu Local Municipality,Alfred Nzo District Municipality,Eastern Cape,South Africa,"Umzimvubu Local Municipality, Alfred Nzo District Municipality, Eastern Cape, South Africa"
-30.8306_26.9214,,Maletswai Local Municipality,Joe Gqabi District Municipality,Eastern Cape,South Africa,"Maletswai Local Municipality, Joe Gqabi District Municipality, Eastern Cape, 9750, South Africa"
-30.8601_29.0712,,Ntabankulu Local Municipality,Alfred Nzo District Municipality,Eastern Cape,South Africa,"Ntabankulu Local Municipality, Alfred Nzo District Municipality, Eastern Cape, 5130, South Africa"
-31.0008_26.3531,,Gariep Local Municipality,Joe Gqabi District Municipality,Eastern Cape,South Africa,"Burgersdorp, Gariep Local Municipality, Joe Gqabi District Municipality, Eastern Cape, 9744, South Africa"
-31.0314_28.8833,,Mhlontlo Local Municipality,O.R. Tambo District Municipality,Eastern Cape,South Africa,"Mhlontlo Local Municipality, O.R. Tambo District Municipality, Eastern Cape, South Africa"
-31.1043_29.3997,,Ingquza Hill Local Municipality,O.R. Tambo District Municipality,Eastern Cape,South Africa,"Ingquza Hill Local Municipality, O.R. Tambo District Municipality, Eastern Cape, South Africa"
-31.3944_20.9472,,Karoo Hoogland Local Municipality,Namakwa District Municipality,Northern Cape,South Africa,"Williston, Karoo Hoogland Local Municipality, Namakwa District Municipality, Northern Cape, South Africa"
-31.396_29.2651,,Ingquza Hill Local Municipality,O.R. Tambo District Municipality,Eastern Cape,South Africa,"Ingquza Hill Local Municipality, O.R. Tambo District Municipality, Eastern Cape, South Africa"
-31.4369_20.4747,,Hantam Local Municipality,Namakwa District Municipality,Northern Cape,South Africa,"Hantam Local Municipality, Namakwa District Municipality, Northern Cape, South Africa"
-31.5547_29.2456,,Nyandeni Local Municipality,O.R. Tambo District Municipality,Eastern Cape,South Africa,"Nyandeni Local Municipality, O.R. Tambo District Municipality, Eastern Cape, 5160, South Africa"
-31.5653_18.3306,,Matzikama Local Municipality,West Coast District Municipality,Western Cape,South Africa,"Matzikama Local Municipality, West Coast District Municipality, Western Cape, South Africa"
-31.8603_18.6875,,Matzikama Local Municipality,West Coast District Municipality,Western Cape,South Africa,"Matzikama Local Municipality, West Coast District Municipality, Western Cape, South Africa"
-32.5028_19.5358,,Hantam Local Municipality,Namakwa District Municipality,Northern Cape,South Africa,"Hantam Local Municipality, Namakwa District Municipality, Northern Cape, South Africa"
-32.5958_19.0094,,Cederberg Local Municipality,West Coast District Municipality,Western Cape,South Africa,"Citrusdal, Cederberg Local Municipality, West Coast District Municipality, Western Cape, 7340, South Africa"
-32.6014_18.7506,,Bergrivier Local Municipality,West Coast District Municipality,Western Cape,South Africa,"Bergrivier Local Municipality, West Coast District Municipality, Western Cape, South Africa"
-32.9458_18.3367,,Bergrivier Local Municipality,West Coast District Municipality,Western Cape,South Africa,"Bergrivier Local Municipality, West Coast District Municipality, Western Cape, South Africa"
-33.0888_19.2188,,Witzenberg Local Municipality,Cape Winelands District Municipality,Western Cape,South Africa,"Witzenberg Local Municipality, Cape Winelands District Municipality, Western Cape, South Africa"
-33.1308_18.8628,,Swartland Local Municipality,West Coast District Municipality,Western Cape,South Africa,"Swartland Local Municipality, West Coast District Municipality, Western Cape, South Africa"
-33.3139_19.0747,,Drakenstein Local Municipality,Cape Winelands District Municipality,Western Cape,South Africa,"Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, South Africa"
-33.3806_19.3017,,Witzenberg Local Municipality,Cape Winelands District Municipality,Western Cape,South Africa,"Ceres, Witzenberg Local Municipality, Cape Winelands District Municipality, Western Cape, 6835, South Africa"
-33.4644_18.7406,,Swartland Local Municipality,West Coast District Municipality,Western Cape,South Africa,"Malmesbury, Swartland Local Municipality, West Coast District Municipality, Western Cape, South Africa"
-33.5017_21.6242,,George,,Western Cape,South Africa,"Calitzdorp, George, Western Cape, 6660, South Africa"
-33.7075_18.9744,,Drakenstein Local Municipality,Cape Winelands District Municipality,Western Cape,South Africa,"Wellington, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7655, South Africa"
-33.7227_18.6169,,,City of Cape Town,Western Cape,South Africa,"City of Cape Town, Western Cape, South Africa"
-33.8181_19.6947,,Langeberg Local Municipality,Cape Winelands District Municipality,Western Cape,South Africa,"Langeberg Local Municipality, Cape Winelands District Municipality, Western Cape, South Africa"
-33.8708_20.0033,,Langeberg Local Municipality,Cape Winelands District Municipality,Western Cape,South Africa,"Ashton, Langeberg Local Municipality, Cape Winelands District Municipality, Western Cape, 6715, South Africa"
-33.8978_20.0128,,Langeberg Local Municipality,Cape Winelands District Municipality,Western Cape,South Africa,"Ashton, Langeberg Local Municipality, Cape Winelands District Municipality, Western Cape, 6715, South Africa"
-33.9708_22.5483,,George,George Local Municipality,Western Cape,South Africa,"George Local Municipality, George, Western Cape, South Africa"
-33.9806_21.6533,,George,Mossel Bay Local Municipality,Western Cape,South Africa,"Mossel Bay Local Municipality, George, Western Cape, South Africa"
-34.0058_22.3511,,George,George Local Municipality,Western Cape,South Africa,"George Local Municipality, George, Western Cape, South Africa"
-34.0286_22.2222,,George,Mossel Bay Local Municipality,Western Cape,South Africa,"Mossel Bay Local Municipality, George, Western Cape, South Africa"
-34.0319_22.0533,,George,Mossel Bay Local Municipality,Western Cape,South Africa,"Mossel Bay Local Municipality, George, Western Cape, South Africa"
-34.0397_22.1333,,George,Mossel Bay Local Municipality,Western Cape,South Africa,"Mossel Bay Local Municipality, George, Western Cape, South Africa"
